Instance,Solution,Run,Time,Value
chao_11.30a,C,8,1119,665.468
chao_11.30a,C,9,1105,675.93
chao_11.30a,C,10,1108,627.011
chao_11.30a,R,1,1069,678.167
chao_11.30a,R,2,1062,633.303
chao_11.30a,R,3,1072,648.851
chao_11.30a,R,4,1068,626.463
chao_11.30a,R,5,1076,674.651
chao_11.30a,R,6,1067,668.256
chao_11.30a,R,7,1069,648.953
chao_11.30a,R,8,1061,632.68
chao_11.30a,R,9,1064,632.516
chao_11.30a,R,10,1049,680.877
chao_11.30b,B,1,1047,510.405
chao_11.30b,B,2,1048,520.599
chao_11.30b,B,3,1063,529.828
chao_11.30b,B,4,1055,540.096
chao_11.30b,B,5,1055,527.708
chao_11.30b,B,6,1047,527.913
chao_11.30b,B,7,1051,541.526
chao_11.30b,B,8,1048,511.823
chao_11.30b,B,9,1053,502.024
chao_11.30b,B,10,1049,542.598
chao_11.30b,C,1,1103,606.849
chao_11.30b,C,2,1090,585.994
chao_11.30b,C,3,1098,607.805
chao_11.30b,C,4,1076,623.897
chao_11.30b,C,5,1078,527.941
chao_11.30b,C,6,1096,575.824
chao_11.30b,C,7,1089,552.097
chao_11.30b,C,8,1078,555.312
chao_11.30b,C,9,1076,602.208
chao_11.30b,C,10,1105,609.788
chao_11.30b,R,1,1106,599.267
chao_11.30b,R,2,1037,555.65
chao_11.30b,R,3,1065,609.25
chao_11.30b,R,4,1042,591.305
chao_11.30b,R,5,1052,596.937
chao_11.30b,R,6,1049,578.318
chao_11.30b,R,7,1044,572.807
chao_11.30b,R,8,1056,558.887
chao_11.30b,R,9,1040,564.156
chao_11.30b,R,10,1062,543.795
chao_11.30c,B,1,862,549.177
chao_11.30c,B,2,873,658.473
chao_11.30c,B,3,864,613.19
chao_11.30c,B,4,861,660.779
chao_11.30c,B,5,860,632.599
chao_11.30c,B,6,858,627.154
chao_11.30c,B,7,848,651.957
chao_11.30c,B,8,870,623.903
chao_11.30c,B,9,877,632.369
chao_11.30c,B,10,866,634.976
chao_11.30c,C,1,974,640.164
chao_11.30c,C,2,983,650.167
chao_11.30c,C,3,963,631.654
chao_11.30c,C,4,993,655.352
chao_11.30c,C,5,1008,601.183
chao_11.30c,C,6,985,593.595
chao_11.30c,C,7,987,608.071
chao_11.30c,C,8,989,607.707
chao_11.30c,C,9,977,624.153
chao_11.30c,C,10,978,653.919
chao_11.30c,R,1,848,677.732
chao_11.30c,R,2,854,641.438
chao_11.30c,R,3,844,652.681
chao_11.30c,R,4,849,708.108
chao_11.30c,R,5,849,666.238
chao_11.30c,R,6,832,705.566
chao_11.30c,R,7,846,692.261
chao_11.30c,R,8,841,650.338
chao_11.30c,R,9,843,659.451
chao_11.30c,R,10,861,683.213
chao_11.40a,B,1,1736,880.356
chao_11.40a,B,2,1762,837.002
chao_11.40a,B,3,1753,844.344
chao_11.40a,B,4,1721,830.21
chao_11.40a,B,5,1739,858.848
chao_11.40a,B,6,1728,843.171
chao_11.40a,B,7,1726,841.109
chao_11.40a,B,8,1730,837.037
chao_11.40a,B,9,1745,802.629
chao_11.40a,B,10,1750,825.078
chao_11.40a,C,1,1793,836.345
chao_11.40a,C,2,1793,827.45
chao_11.40a,C,3,1799,816.13
chao_11.40a,C,4,1807,829.869
chao_11.40a,C,5,1867,816.641
chao_11.40a,C,6,1767,783.106
chao_11.40a,C,7,1800,874.374
chao_11.40a,C,8,1808,824.846
chao_11.40a,C,9,1800,796.401
chao_11.40a,C,10,1804,850.001
chao_11.40a,R,1,1760,848.683
chao_11.40a,R,2,1753,842.251
chao_11.40a,R,3,1765,894.881
chao_11.40a,R,4,1750,884.84
chao_11.40a,R,5,1746,819.015
chao_11.40a,R,6,1769,871.489
chao_11.40a,R,7,1772,883.457
chao_11.40a,R,8,1791,809.785
chao_11.40a,R,9,1768,831.197
chao_11.40a,R,10,1836,866.551
chao_11.40b,B,1,1802,781.993
chao_11.40b,B,2,1729,760.912
chao_11.40b,B,3,1725,768.317
chao_11.40b,B,4,1771,733.376
chao_11.40b,B,5,1762,733.1
chao_11.40b,B,6,1703,730.831
chao_11.40b,B,7,1716,773.477
chao_11.40b,B,8,1724,752.278
chao_11.40b,B,9,1740,770.109
chao_11.40b,B,10,1751,718.138
chao_11.40b,C,1,1762,752.471
chao_11.40b,C,2,1766,797.413
chao_11.40b,C,3,1759,742.509
chao_11.40b,C,4,1792,797.621
chao_11.40b,C,5,1788,751.527
chao_11.40b,C,6,1782,761.349
chao_11.40b,C,7,1744,764.935
chao_11.40b,C,8,1769,771.907
chao_11.40b,C,9,1774,734.544
chao_11.40b,C,10,1836,788.527
chao_11.40b,R,1,1736,827.391
chao_11.40b,R,2,1732,820.951
chao_11.40b,R,3,1721,806.169
chao_11.40b,R,4,1737,822.829
chao_11.40b,R,5,1738,784.113
chao_11.40b,R,6,1734,820.886
chao_11.40b,R,7,1718,801.941
